"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***,G***";"lightning";2;"LOGO";;;
2;"U3";"DIP-28_W7.62mm_LongPads";1;"ATMEGA328P-P";;;
3;"C5,C3,C4,C8";"C_Disc_D3.8mm_W2.6mm_P2.50mm";4;"0.1uF";;;
4;"C1,C2";"C_Disc_D3.8mm_W2.6mm_P2.50mm";2;"0.33uF";;;
5;"C6,C7";"C_Disc_D3.8mm_W2.6mm_P2.50mm";2;"18pF";;;
6;"P1";"USB_B";1;"USB_A";;;
7;"P2";"BARREL_JACK";1;"BARREL_JACK";;;
8;"P4";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"CONN_01X06";;;
9;"P6,P3";"Pin_Header_Straight_1x08_Pitch2.54mm";2;"CONN_01X08";;;
10;"R1,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"1K";;;
11;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10K";;;
12;"SW1";"SW_PUSH_6mm";1;"Push_SW";;;
13;"U2";"DIP-14_W7.62mm_LongPads";1;"MCP2221A";;;
14;"Y1";"Crystal_HC49-U_Vertical";1;"16MHz";;;
15;"D2";"LED_D5.0mm";1;"LED";;;
16;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"470";;;
17;"P7";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"ICSP";;;
18;"P5";"Pin_Header_Straight_1x10_Pitch2.54mm";1;"CONN_01X10";;;
19;"U4";"TO-92_Inline_Wide";1;"L78L33";;;
20;"U1";"TO-220-3_Horizontal_NO_HOLE";1;"LM7805CT";;;
21;"D1";"D_DO-15_P10.16mm_Horizontal";1;"2A";;;
